ActualElapsedTime,Origin,Distance,Cancelled
35,FAY,Short,0
344,JFK,ExtraLong,0
50,LGA,Short,0
211,SEA,Long,0
170,DEN,Long,0
81,PHL,Short,0
257,DFW,Long,0
214,ORD,Long,0
129,ATL,Medium,0
203,DFW,Long,0
69,PIT,Short,0
164,LAS,Long,0
195,SNA,Long,0
165,MIA,Medium,0
124,DEN,Medium,0
226,DFW,Long,0
120,ORD,Medium,0
84,ATL,Short,0
125,ORD,Medium,0
93,SFO,Medium,0
102,ATL,Medium,0
248,PHL,Long,0
87,DEN,Medium,0
249,SFO,ExtraLong,0
70,SFO,Short,0
73,PHX,Short,0
99,DFW,Medium,0
80,EUG,Short,0
211,SFO,Long,0
131,MCO,Medium,0
51,CLE,Short,0
44,SFO,Short,0
46,HOU,Short,0
73,ORD,Short,0
77,DFW,Short,0
58,OKC,Short,0
NA,PDX,Medium,1
57,SMF,Short,0
80,OAK,Short,0
56,SAT,Short,0
51,LGA,Short,0
129,DCA,Medium,0
155,GEG,Medium,0
87,RSW,Medium,0
69,ATL,Short,0
NA,MIA,Short,1
116,DEN,Medium,0
76,CLT,Short,0
99,STL,Medium,0
97,EWR,Short,0
63,JFK,Short,0
125,EWR,Medium,0
87,MCI,Short,0
54,RAP,Short,0
92,LGA,Short,0
45,GRR,Short,0
91,PIE,Medium,0
78,ABQ,Short,0
NA,HRL,Short,1
59,DFW,Short,0
172,PIT,Long,0
253,PHL,Long,0
114,ORD,Medium,0
60,SAV,Short,0
193,DEN,Long,0
35,IDA,Short,0
72,ALB,Short,0
68,SJC,Short,0
59,BWI,Short,0
38,GSO,Short,0
64,STL,Short,0
63,ATL,Short,0
74,ATL,Short,0
50,DAL,Short,0
185,ATL,Long,0
158,DCA,Medium,0
122,GTF,Medium,0
40,ATL,Short,0
106,BDL,Medium,0
50,DFW,Short,0
117,AUS,Medium,0
78,MEM,Short,0
53,LAX,Short,0
148,DEN,Medium,0
114,ATL,Medium,0
100,CLE,Medium,0
106,ORD,Medium,0
97,DTW,Short,0
54,PBI,Short,0
69,LGA,Short,0
73,ATL,Short,0
48,ATL,Short,0
58,SNA,Short,0
92,PHX,Short,0
59,LAS,Short,0
71,PIT,Short,0
184,DFW,Long,0
135,SLC,Medium,0
79,SNA,Short,0
73,EWR,Short,0
66,ISP,Short,0
46,SFO,Short,0
175,LGB,Long,0
70,HOU,Short,0
133,MEM,Medium,0
105,SJC,Medium,0
86,SFO,Short,0
207,DFW,Long,0
353,JFK,ExtraLong,0
127,ORD,Medium,0
51,HNL,Short,0
48,MAF,Short,0
40,SRQ,Short,0
126,LAX,Medium,0
357,EWR,ExtraLong,0
111,MCO,Medium,0
244,ORD,Long,0
140,DEN,Medium,0
97,MCI,Medium,0
175,EWR,Medium,0
47,LAS,Short,0
62,CLT,Short,0
55,PHX,Short,0
120,IAH,Medium,0
51,IAD,Short,0
45,OKC,Short,0
65,SFO,Short,0
58,LGA,Short,0
64,PHX,Short,0
35,SDF,Short,0
48,TPA,Short,0
304,DTW,Long,0
67,DTW,Short,0
108,TPA,Medium,0
50,EWR,Short,0
99,FLL,Medium,0
251,ORD,Long,0
115,HOU,Medium,0
67,SFO,Short,0
68,MSP,Short,0
105,DEN,Medium,0
204,EWR,Long,0
28,ELM,Short,0
148,LAX,Medium,0
96,BNA,Short,0
80,STL,Short,0
300,EWR,ExtraLong,0
118,DEN,Medium,0
78,ONT,Short,0
45,ATL,Short,0
62,DTW,Short,0
337,EWR,ExtraLong,0
84,DFW,Medium,0
152,MIA,Long,0
41,BUF,Short,0
75,DTW,Short,0
57,STL,Short,0
65,IAD,Short,0
161,SAT,Long,0
218,LAX,Long,0
69,BOS,Short,0
250,MEM,Long,0
60,PHX,Short,0
91,ORD,Short,0
82,ATL,Short,0
27,HOU,Short,0
NA,CLT,Short,1
151,STL,Long,0
73,CLT,Short,0
61,SAT,Short,0
67,DTW,Short,0
96,EWR,Medium,0
33,GSO,Short,0
61,PNS,Short,0
107,HPN,Medium,0
153,DFW,Medium,0
185,LGA,Medium,0
91,BOS,Short,0
88,CVG,Medium,0
101,ABQ,Medium,0
162,FLL,Medium,0
48,TPA,Short,0
50,TLH,Short,0
60,DFW,Short,0
NA,ANC,ExtraLong,1
84,CVG,Short,0
74,MDW,Short,0
83,BOS,Short,0
153,STL,Medium,0
155,MCI,Long,0
231,SJU,Long,0
177,DFW,Long,0
59,TPA,Short,0
93,DTW,Medium,0
241,ORD,Long,0
113,CLE,Short,0
100,SEA,Medium,0
67,ORD,Short,0
137,DFW,Medium,0
80,OAK,Short,0
37,SMF,Short,0
52,ATL,Short,0
225,EWR,Long,0
80,DTW,Short,0
104,ORD,Medium,0
65,LGA,Short,0
129,LGA,Medium,0
60,GRR,Short,0
45,MEM,Short,0
90,DFW,Short,0
78,ORD,Short,0
38,CAE,Short,0
127,DAY,Medium,0
95,DEN,Medium,0
212,SEA,Long,0
115,ELP,Medium,0
299,HNL,ExtraLong,0
38,MRY,Short,0
38,SYR,Short,0
364,BOS,ExtraLong,0
122,DFW,Medium,0
53,TYS,Short,0
80,ATW,Short,0
80,ATL,Short,0
51,SRQ,Short,0
55,SAN,Short,0
76,BNA,Short,0
51,IAH,Short,0
135,IAD,Medium,0
230,SAN,Long,0
113,DEN,Medium,0
171,MIA,Long,0
70,LAX,Short,0
105,ATL,Medium,0
73,MEM,Short,0
112,OAK,Medium,0
82,EWR,Short,0
122,PBI,Medium,0
99,ATL,Medium,0
63,DCA,Short,0
145,SEA,Medium,0
76,STL,Short,0
55,LAX,Short,0
223,LAX,Long,0
115,ORD,Medium,0
74,LGA,Short,0
278,SFO,ExtraLong,0
NA,CLT,Short,1
61,DFW,Short,0
35,PHX,Short,0
107,OKC,Medium,0
257,SFO,ExtraLong,0
169,EWR,Long,0
57,MIA,Short,0
NA,DEN,Short,1
73,CLE,Short,0
149,SEA,Medium,0
75,LGA,Short,0
80,MEM,Short,0
44,AUS,Short,0
26,FLG,Short,0
88,DFW,Medium,0
153,MIA,Long,0
41,ONT,Short,0
40,ATL,Short,0
70,PHX,Short,0
118,DFW,Medium,0
393,JFK,ExtraLong,0
75,SFO,Short,0
145,IAD,Medium,0
49,LAS,Short,0
85,TOL,Short,0
71,LAX,Short,0
50,MSP,Short,0
159,MIA,Long,0
137,IAH,Medium,0
57,PHL,Short,0
44,CRW,Short,0
106,MEM,Medium,0
77,TPA,Short,0
43,MEM,Short,0
103,DAY,Medium,0
123,EWR,Medium,0
27,HSV,Short,0
72,EWR,Short,0
81,SFO,Short,0
50,MIA,Short,0
87,OKC,Short,0
111,OAK,Short,0
90,OME,Medium,0
70,EWR,Short,0
59,ALO,Short,0
30,CLT,Short,0
132,DFW,Long,0
136,DEN,Medium,0
55,BWI,Short,0
173,GSO,Medium,0
198,IND,Medium,0
150,EWR,Medium,0
43,AZO,Short,0
56,BNA,Short,0
185,LGA,Long,0
50,HOU,Short,0
93,TPA,Short,0
69,OAK,Short,0
50,PIT,Short,0
77,SJC,Short,0
135,ORD,Medium,0
68,SLC,Short,0
114,ATL,Medium,0
105,TUL,Medium,0
86,SJC,Short,0
112,FAR,Medium,0
157,MIA,Long,0
161,DEN,Medium,0
102,ATL,Short,0
64,OAJ,Short,0
20,CRW,Short,0
82,SAN,Short,0
94,OAK,Medium,0
113,LGA,Medium,0
55,AMA,Short,0
74,ATL,Short,0
61,SAT,Short,0
118,MCO,Medium,0
115,DEN,Medium,0
174,DEN,Medium,0
39,AGS,Short,0
77,DFW,Short,0
48,SAT,Short,0
64,LBB,Short,0
28,MRY,Short,0
118,STL,Medium,0
129,ROC,Medium,0
51,DAL,Short,0
50,MSP,Short,0
201,DFW,Long,0
92,SNA,Short,0
76,SNA,Short,0
190,LAX,Long,0
56,MEM,Short,0
43,LAX,Short,0
42,MOB,Short,0
59,SAN,Short,0
90,LGA,Short,0
240,IAD,Long,0
63,MCI,Short,0
33,PHX,Short,0
39,SRQ,Short,0
200,LAX,Long,0
76,SJC,Short,0
48,SEA,Short,0
67,CVG,Short,0
72,LGA,Short,0
87,LGB,Short,0
38,BNA,Short,0
44,IAH,Short,0
72,SFO,Short,0
296,ATL,ExtraLong,0
36,EUG,Short,0
236,LAX,Long,0
52,GRR,Short,0
114,STL,Medium,0
91,PDX,Medium,0
49,BUF,Short,0
141,JAX,Medium,0
239,SNA,Long,0
54,ATL,Short,0
53,DTW,Short,0
229,LAX,Long,0
70,BNA,Short,0
81,MLB,Short,0
54,STL,Short,0
160,FLL,Long,0
161,IAH,Long,0
72,DSM,Short,0
62,MEM,Short,0
111,EWR,Medium,0
98,PHX,Medium,0
37,BNA,Short,0
